     Descriere test						      Stare test

1. Adaugare pas title         						REUSIT
2. Adaugare pas text         						REUSIT
3. Adaugare pas text input         					REUSIT
4. Adaugare pas number input         					REUSIT
5. Adaugare pas calculus         					REUSIT
6. Adaugare pas display         					REUSIT
7. Adaugare pas text file         					REUSIT
8. Adaugare pas csv file     						REUSIT
9. Adaugare pas Output         						NEREUSIT
10.Adaugare pas end         						REUSIT
11.Adaugarea datelei creare flow					NEREUSIT
12.Implementarea tuturor conceptelor POO				REUSIT
13.Adaugarea unui meniu							REUSIT
14.Gestionarea skipurilor la pasi					REUSIT
15.Respectarea cerintei de liniaritate					REUSIT
16.Adaugarea descrierii la fiecare pas executat				REUSIT
17.Gestionarea erorilor la input gresit					REUSIT
18.Implementare min si max la calculus step				NEREUSIT
19.Posibilitatea de a sterge flowuri					NEREUSIT
20.Se poate executa un pas de oricate ori se doreste			REUSIT
